ticker,company_name,sector_name
NVDA,NVIDIA Corporation,technology
AAPL,Apple Inc.,technology
MSFT,Microsoft Corporation,technology
AVGO,Broadcom Inc.,technology
TSM,Taiwan Semiconductor Manufacturing Company Limited,technology
MU,"Micron Technology, Inc.",technology
ASML,ASML Holding N.V.,technology
AMD,"Advanced Micro Devices, Inc.",technology
ORCL,Oracle Corporation,technology
INTC,Intel Corporation,technology
CSCO,"Cisco Systems, Inc.",technology
PLTR,Palantir Technologies Inc.,technology
LRCX,Lam Research Corporation,technology
AMAT,"Applied Materials, Inc.",technology
TXN,Texas Instruments Incorporated,technology
KLAC,KLA Corporation,technology
IBM,International Business Machines Corporation,technology
ARM,Arm Holdings plc,technology
ANET,"Arista Networks, Inc.",technology
SAP,SAP SE,technology
ADI,"Analog Devices, Inc.",technology
APH,Amphenol Corporation,technology
QCOM,QUALCOMM Incorporated,technology
SHOP,Shopify Inc.,technology
UBER,"Uber Technologies, Inc.",technology
CRM,"Salesforce, Inc.",technology
SNDK,Sandisk Corporation,technology
PANW,"Palo Alto Networks, Inc.",technology
MRVL,"Marvell Technology, Inc.",technology
DELL,Dell Technologies Inc.,technology
WDC,Western Digital Corporation,technology
GLW,Corning Incorporated,technology
STX,Seagate Technology Holdings plc,technology
SONY,Sony Group Corporation,technology
CRWD,"CrowdStrike Holdings, Inc.",technology
INTU,Intuit Inc.,technology
ACN,Accenture plc,technology
ADBE,Adobe Inc.,technology
NOW,"ServiceNow, Inc.",technology
SNPS,"Synopsys, Inc.",technology
CDNS,"Cadence Design Systems, Inc.",technology
ADP,"Automatic Data Processing, Inc.",technology
MPWR,"Monolithic Power Systems, Inc.",technology
NET,"Cloudflare, Inc.",technology
MSI,"Motorola Solutions, Inc.",technology
ASX,"ASE Technology Holding Co., Ltd.",technology
CIEN,Ciena Corporation,technology
FTNT,"Fortinet, Inc.",technology
NOK,Nokia Oyj,technology
TEL,TE Connectivity plc,technology
TER,"Teradyne, Inc.",technology
COHR,Coherent Corp.,technology
UI,Ubiquiti Inc.,technology
NXPI,NXP Semiconductors N.V.,technology
MSTR,Strategy Inc,technology
CRWV,"CoreWeave, Inc.",technology
KEYS,"Keysight Technologies, Inc.",technology
LITE,Lumentum Holdings Inc.,technology
ADSK,"Autodesk, Inc.",technology
INFY,Infosys Limited,technology
SNOW,Snowflake Inc.,technology
GRMN,Garmin Ltd.,technology
DDOG,"Datadog, Inc.",technology
MCHP,Microchip Technology Incorporated,technology
STM,STMicroelectronics N.V.,technology
CLS,Celestica Inc.,technology
XYZ,"Block, Inc.",technology
ERIC,Telefonaktiebolaget LM Ericsson (publ),technology
HPE,Hewlett Packard Enterprise Company,technology
ON,ON Semiconductor Corporation,technology
ROP,"Roper Technologies, Inc.",technology
JBL,Jabil Inc.,technology
GFS,GLOBALFOUNDRIES Inc.,technology
FISV,"Fiserv, Inc.",technology
PAYX,"Paychex, Inc.",technology
FLEX,Flex Ltd.,technology
ALAB,"Astera Labs, Inc.",technology
WDAY,"Workday, Inc.",technology
CRDO,Credo Technology Group Holding Ltd,technology
UMC,United Microelectronics Corporation,technology
TDY,Teledyne Technologies Incorporated,technology
Q,"Qnity Electronics, Inc.",technology
ASTS,"AST SpaceMobile, Inc.",technology
ZM,"Zoom Communications, Inc.",technology
CTSH,Cognizant Technology Solutions Corporation,technology
VRSN,"VeriSign, Inc.",technology
FICO,Fair Isaac Corporation,technology
FIS,"Fidelity National Information Services, Inc.",technology
P,"Everpure, Inc.",technology
FN,Fabrinet,technology
WIT,Wipro Limited,technology
ENTG,"Entegris, Inc.",technology
ZS,"Zscaler, Inc.",technology
TSEM,Tower Semiconductor Ltd.,technology
TWLO,Twilio Inc.,technology
NTAP,"NetApp, Inc.",technology
FSLR,"First Solar, Inc.",technology
MDB,"MongoDB, Inc.",technology
CPAY,"Corpay, Inc.",technology
MTSI,"MACOM Technology Solutions Holdings, Inc.",technology
FTV,Fortive Corporation,technology
BR,"Broadridge Financial Solutions, Inc.",technology
LDOS,"Leidos Holdings, Inc.",technology
TEAM,Atlassian Corporation,technology
HPQ,HP Inc.,technology
MKSI,MKS Inc.,technology
SNX,TD SYNNEX Corporation,technology
AMKR,"Amkor Technology, Inc.",technology
NXT,Nextpower Inc.,technology
TOST,"Toast, Inc.",technology
IOT,Samsara Inc.,technology
CDW,CDW Corporation,technology
SSNC,"SS&C Technologies Holdings, Inc.",technology
SMCI,"Super Micro Computer, Inc.",technology
KSPI,Joint Stock Company Kaspi.kz,technology
PTC,PTC Inc.,technology
NVMI,Nova Ltd.,technology
GRAB,Grab Holdings Limited,technology
FFIV,"F5, Inc.",technology
IONQ,"IonQ, Inc.",technology
GIB,CGI Inc.,technology
LSCC,Lattice Semiconductor Corporation,technology
TRMB,Trimble Inc.,technology
CHKP,Check Point Software Technologies Ltd.,technology
TYL,"Tyler Technologies, Inc.",technology
TTMI,"TTM Technologies, Inc.",technology
LOGI,Logitech International S.A.,technology
AKAM,"Akamai Technologies, Inc.",technology
ONTO,Onto Innovation Inc.,technology
SITM,SiTime Corporation,technology
OKTA,"Okta, Inc.",technology
RMBS,Rambus Inc.,technology
HUBS,"HubSpot, Inc.",technology
GWRE,"Guidewire Software, Inc.",technology
GEN,Gen Digital Inc.,technology
U,Unity Software Inc.,technology
SANM,Sanmina Corporation,technology
GDDY,GoDaddy Inc.,technology
CACI,CACI International Inc,technology
RBRK,"Rubrik, Inc.",technology
FPS,"Forgent Power Solutions, Inc.",technology
VICR,Vicor Corporation,technology
JKHY,"Jack Henry & Associates, Inc.",technology
NTNX,"Nutanix, Inc.",technology
DT,"Dynatrace, Inc.",technology
AAOI,"Applied Optoelectronics, Inc.",technology
ZBRA,Zebra Technologies Corporation,technology
FORM,"FormFactor, Inc.",technology
BSY,"Bentley Systems, Incorporated",technology
IT,"Gartner, Inc.",technology
VIAV,Viavi Solutions Inc.,technology
DOCN,"DigitalOcean Holdings, Inc.",technology
LFUS,"Littelfuse, Inc.",technology
AUR,"Aurora Innovation, Inc.",technology
ARW,"Arrow Electronics, Inc.",technology
APLD,Applied Digital Corporation,technology
SWKS,"Skyworks Solutions, Inc.",technology
IDCC,"InterDigital, Inc.",technology
CGNX,Cognex Corporation,technology
YMM,Full Truck Alliance Co. Ltd.,technology
FIG,"Figma, Inc.",technology
DOCU,"DocuSign, Inc.",technology
SMTC,Semtech Corporation,technology
CAMT,Camtek Ltd.,technology
GDS,GDS Holdings Limited,technology
PCOR,"Procore Technologies, Inc.",technology
MANH,"Manhattan Associates, Inc.",technology
CRUS,"Cirrus Logic, Inc.",technology
CHYM,"Chime Financial, Inc.",technology
ESE,ESCO Technologies Inc.,technology
XNDU,Xanadu Quantum Technologies Limited,technology
VSAT,"Viasat, Inc.",technology
QRVO,"Qorvo, Inc.",technology
ALGM,"Allegro MicroSystems, Inc.",technology
YOU,"Clear Secure, Inc.",technology
CWAN,"Clearwater Analytics Holdings, Inc.",technology
SLAB,Silicon Laboratories Inc.,technology
CIFR,Cipher Digital Inc.,technology
DOX,Amdocs Limited,technology
INGM,Ingram Micro Holding Corporation,technology
QBTS,D-Wave Quantum Inc.,technology
PLXS,Plexus Corp.,technology
SAIL,"SailPoint, Inc.",technology
AVT,"Avnet, Inc.",technology
CORZ,"Core Scientific, Inc.",technology
